		Data				
state	county	Sum - lat_weighted	Sum - long_weighted	Sum - estimated_population	lat	long
AK	Aleutians East Borough	59530.68	-174226.96	1079	55.1720852641335	-161.470769230769
AK	Aleutians West Census Area	153485.93	-474183.71	2848	53.8925316011236	-166.497089185393
AK	Anchorage Borough	14013791.76	-34296746.09	229075	61.17556154098	-149.718415759031
AK	Bethel Census Area	362255.59	-961490.5	5952	60.8628343413979	-161.540742607527
AK	Bristol Bay Borough	54130.45	-144255.8	921	58.7735613463626	-156.629533116178
AK	City and Borough of Juneau	409106.05	-943290.11	7013	58.3353842863254	-134.50593326679
AK	Denali Borough	58505.14	-135591.9	914	64.01	-148.35
AK	Dillingham Census Area	154719.82	-416070.38	2627	58.8960106585459	-158.382329653597
AK	Fairbanks North Star Borough	5044221.95	-11484111.28	77804	64.8324244254794	-147.603095984782
AK	Haines Borough	127312.32	-292370.72	2152	59.16	-135.86
AK	Hoonah-Angoon Borough	63102.88	-146954.52	1084	58.2129889298893	-135.566900369004
AK	Juneau Borough	1170683.4	-2694031.17	19995	58.5488072018005	-134.735242310578
AK	Kenai Peninsula Borough	2780061.36	-6966699.73	46177	60.2044602291184	-150.869474630227
AK	Ketchikan Gateway Borough	648930.57	-1536202.35	11673	55.5924415317399	-131.603045489591
AK	Kodiak Island Borough	661233.18	-1743760.8	11442	57.79	-152.4
AK	Matanuska-Susitna Borough	4345128.35	-10541753.95	70599	61.5465991019703	-149.318743183331
AK	Municipality of Anchorage	1044188.35	-2558146.57	17070	61.170963678969	-149.862130638547
AK	Nome Census Area	234601.17	-595255.9	3631	64.6106224180666	-163.937179840264
AK	North Slope Borough	300482.53	-671022.49	4240	70.8685212264151	-158.260021226415
AK	Northwest Arctic Borough	150483.12	-360743.22	2238	67.24	-161.19
AK	Petersburg Borough	168297.5	-391229	2950	57.05	-132.62
AK	Prince of Wales-Outer Ketchikan Borough	169824.62	-406114.15	3067	55.371574828823	-132.414134333225
AK	Sitka Borough	425361.54	-1012230	7498	56.73	-135
AK	Skagway Borough	57842.47	-131424.85	971	59.57	-135.35
AK	Southeast Fairbanks Census Area	357521.82	-811059.3	5610	63.7293796791444	-144.57385026738
AK	Valdez-Cordova Census Area	509819.99	-1207381.22	8301	61.4166955788459	-145.450092759908
AK	Wade Hampton Census Area	174933.85	-463954.45	2823	61.9673574211831	-164.348016294722
AK	Wrangell Borough	109438.2	-258113.76	1956	55.95	-131.96
AK	Yakutat Borough	28326.76	-66501.96	476	59.51	-139.71
AK	Yukon-Koyukuk Census Area	96348	-221992.11	1479	65.1440162271805	-150.096085192698
AL	Autauga	1371014.72	-3650502.74	42218	32.4746487280307	-86.467922213274
AL	Baldwin	4464262.22	-12827238.02	146155	30.5447108891245	-87.764619889843
AL	Barbour	561955.3	-1502849.79	17629	31.8767542118101	-85.2487259629021
AL	Bibb	520961.24	-1374272.08	15775	33.0244843106181	-87.1170890649762
AL	Blount	1166695.8	-2976325.88	34372	33.9432037705109	-86.5915826835797
AL	Bullock	247079.9	-659125.33	7692	32.1216718668747	-85.6897204888196
AL	Butler	483117.5	-1318335.97	15214	31.754798212173	-86.6528177993953
AL	Calhoun	3268970.85	-8317093.83	96931	33.7247201617645	-85.8042713889262
AL	Chambers	943621.29	-2448972.78	28734	32.839886197536	-85.2290937565254
AL	Cherokee	532146.57	-1333342.47	15567	34.1842724995182	-85.6518577760648
AL	Chilton	983759.91	-2594518.93	29937	32.8610051107325	-86.6659628553295
AL	Choctaw	306375.11	-845277.2	9577	31.9907183878041	-88.2611673801817
AL	Clarke	674279.45	-1867830.14	21272	31.6979809138774	-87.8069828883039
AL	Clay	350598.17	-902897.74	10527	33.3046613470124	-85.7697102688325
AL	Cleburne	363628.21	-924367.15	10811	33.6350208121358	-85.5024650818611
AL	Coffee	1221838.28	-3348552.51	38980	31.345261159569	-85.90437429451
AL	Colbert	1486708.74	-3753384.38	42806	34.7313166378545	-87.6836046348643
AL	Conecuh	290598.4	-805363.95	9256	31.3956784788245	-87.0099340968021
AL	Coosa	266893.51	-697034.96	8094	32.9742414133926	-86.1174894983939
AL	Covington	859540.3	-2373029.78	27463	31.2981211084004	-86.4082503732294
AL	Crenshaw	361250.02	-982607.41	11387	31.7247756213226	-86.2920356546939
AL	Cullman	2115808.69	-5378642.34	61946	34.1556951215575	-86.8279201239789
AL	Dale	1201684.23	-3278906.7	38290	31.3837615565422	-85.6334996082528
AL	Dallas	1072815.06	-2882058	33110	32.4015421322863	-87.0449411054062
AL	Dekalb	1728992.53	-4305307.27	50187	34.4510038456174	-85.785308346783
AL	Elmore	2245654.04	-5947202.73	68988	32.5513718327825	-86.2063363193599
AL	Escambia	844245.45	-2372373.2	27182	31.0589894047531	-87.2773600176588
AL	Etowah	2771119.41	-7010637.42	81461	34.0177435828188	-86.0612737383533
AL	Fayette	409016.8	-1065000.37	12137	33.6999917607316	-87.7482384444262
AL	Franklin	916707.97	-2335995.2	26609	34.4510492690443	-87.7896651508888
AL	Geneva	621970.99	-1715848.57	20002	31.0954399560044	-85.7838501149885
AL	Greene	197881.55	-530560.11	6035	32.7889892294946	-87.9138541839271
AL	Hale	448684.38	-1198071.18	13673	32.8153572734586	-87.623139033131
