state	county	population	lat	lon
AK	Aleutians East	1079	55.1720852641335	-161.470769230769
AK	Aleutians West	2848	53.8925316011236	-166.497089185393
AK	Anchorage	229075	61.17556154098	-149.718415759031
AK	Bethel	5952	60.8628343413979	-161.540742607527
AK	Bristol Bay	921	58.7735613463626	-156.629533116178
AK	City and Borough of Juneau	7013	58.3353842863254	-134.50593326679
AK	Denali	914	64.01	-148.35
AK	Dillingham	2627	58.8960106585459	-158.382329653597
AK	Fairbanks North Star	77804	64.8324244254794	-147.603095984782
AK	Haines	2152	59.16	-135.86
AK	Hoonah-Angoon	1084	58.2129889298893	-135.566900369004
AK	Juneau	19995	58.5488072018005	-134.735242310578
AK	Kenai Peninsula	46177	60.2044602291184	-150.869474630227
AK	Ketchikan Gateway	11673	55.5924415317399	-131.603045489591
AK	Kodiak Island	11442	57.79	-152.4
AK	Matanuska-Susitna	70599	61.5465991019703	-149.318743183331
AK	Municipality of Anchorage	17070	61.170963678969	-149.862130638547
AK	Nome	3631	64.6106224180666	-163.937179840264
AK	North Slope	4240	70.8685212264151	-158.260021226415
AK	Northwest Arctic	2238	67.24	-161.19
AK	Petersburg	2950	57.05	-132.62
AK	Prince of Wales-Outer Ketchikan	3067	55.371574828823	-132.414134333225
AK	Sitka	7498	56.73	-135
AK	Skagway	971	59.57	-135.35
AK	Southeast Fairbanks	5610	63.7293796791444	-144.57385026738
AK	Valdez-Cordova	8301	61.4166955788459	-145.450092759908
AK	Wade Hampton	2823	61.9673574211831	-164.348016294722
AK	Wrangell	1956	55.95	-131.96
AK	Yakutat	476	59.51	-139.71
AK	Yukon-Koyukuk	1479	65.1440162271805	-150.096085192698
AL	Autauga	42218	32.4746487280307	-86.467922213274
AL	Baldwin	146155	30.5447108891245	-87.764619889843
AL	Barbour	17629	31.8767542118101	-85.2487259629021
AL	Bibb	15775	33.0244843106181	-87.1170890649762
AL	Blount	34372	33.9432037705109	-86.5915826835797
AL	Bullock	7692	32.1216718668747	-85.6897204888196
AL	Butler	15214	31.754798212173	-86.6528177993953
AL	Calhoun	96931	33.7247201617645	-85.8042713889262
AL	Chambers	28734	32.839886197536	-85.2290937565254
AL	Cherokee	15567	34.1842724995182	-85.6518577760648
AL	Chilton	29937	32.8610051107325	-86.6659628553295
AL	Choctaw	9577	31.9907183878041	-88.2611673801817
AL	Clarke	21272	31.6979809138774	-87.8069828883039
AL	Clay	10527	33.3046613470124	-85.7697102688325
AL	Cleburne	10811	33.6350208121358	-85.5024650818611
AL	Coffee	38980	31.345261159569	-85.90437429451
AL	Colbert	42806	34.7313166378545	-87.6836046348643
AL	Conecuh	9256	31.3956784788245	-87.0099340968021
AL	Coosa	8094	32.9742414133926	-86.1174894983939
AL	Covington	27463	31.2981211084004	-86.4082503732294
AL	Crenshaw	11387	31.7247756213226	-86.2920356546939
AL	Cullman	61946	34.1556951215575	-86.8279201239789
AL	Dale	38290	31.3837615565422	-85.6334996082528
AL	Dallas	33110	32.4015421322863	-87.0449411054062
AL	Dekalb	50187	34.4510038456174	-85.785308346783
AL	Elmore	68988	32.5513718327825	-86.2063363193599
AL	Escambia	27182	31.0589894047531	-87.2773600176588
AL	Etowah	81461	34.0177435828188	-86.0612737383533
AL	Fayette	12137	33.6999917607316	-87.7482384444262
AL	Franklin	26609	34.4510492690443	-87.7896651508888
AL	Geneva	20002	31.0954399560044	-85.7838501149885
AL	Greene	6035	32.7889892294946	-87.9138541839271
AL	Hale	13673	32.8153572734586	-87.623139033131
AL	Henry	15292	31.4243833376929	-85.2748424012556
AL	Houston	76682	31.2184375733549	-85.3750609008633
AL	Jackson	42604	34.715906252934	-85.9381804525397
AL	Jefferson	531249	33.5348456373565	-86.8064523603809
AL	Lamar	11798	33.7586023054755	-88.0962366502797
AL	Lauderdale	70437	34.836149040987	-87.5911891477491
AL	Lawrence	31902	34.5406056046643	-87.2338800075231
AL	Lee	95194	32.5893668718617	-85.3243538458306
AL	Limestone	61206	34.7982622618697	-86.9219467045714
AL	Lowndes	12668	32.1597639722135	-86.5465756236186
AL	Macon	14069	32.4498912502665	-85.7293318643827
AL	Madison	275421	34.7295172481401	-86.6255561848951
AL	Marengo	15877	32.3802172954588	-87.7833633557977
AL	Marion	20656	34.0579158597986	-87.8796509488768
AL	Marshall	76282	34.2945937442647	-86.278104402087
AL	Mobile	317549	30.6878065117509	-88.0938106874845
AL	Monroe	15681	31.4906428161469	-87.3463930871756
AL	Montgomery	178412	32.3421258659731	-86.2708969688138
AL	Morgan	91191	34.5095317520369	-86.9278698555778
AL	Perry	6952	32.5587773302647	-87.3812226697353
AL	Pickens	15367	33.2764944361294	-88.0466135224832
AL	Pike	23074	31.7795436421947	-85.9370559937592
AL	Randolph	16790	33.2199148302561	-85.4086980345444
AL	Russell	39358	32.4255213679557	-85.0477272727273
AL	Shelby	152779	33.3136906904745	-86.7567023609266
AL	St Clair	58145	33.6596940407602	-86.3442421532376
AL	Sumter	8831	32.5375257615219	-88.2399218661533
AL	Talladega	58883	33.3438654620179	-86.169018222577
AL	Tallapoosa	29784	32.8959028337362	-85.8526269137792
AL	Tuscaloosa	138287	33.2256603296044	-87.496738666686
AL	Walker	49268	33.8256724445888	-87.2728052691402
AL	Washington	12039	31.4281651299942	-88.1668311321538
AL	Wilcox	8702	31.9963238336015	-87.3869593196966
AL	Winston	19411	34.1783607233012	-87.4593756117665
AR	Arkansas	15008	34.4056796375267	-91.4850739605544
AR	Ashley	16961	33.1631808266022	-91.8635628795472
AR	Baxter	32340	36.323695423624	-92.3798491032777
AR	Benton	163483	36.3441553556027	-94.2333126991797
AR	Boone	27827	36.2645808028174	-93.0952082509793
AR	Bradley	8292	33.5783743367101	-92.0914037626628
AR	Calhoun	2788	33.5761406025825	-92.4638450502152
AR	Carroll	20868	36.3612919302281	-93.5617783208741
AR	Chicot	8250	33.3208254545455	-91.3166024242424
AR	Clark	16605	34.0954037940379	-93.1448021680217
AR	Clay	9877	36.3581492355979	-90.3600769464412
AR	Cleburne	19040	35.5115793067227	-92.068
AR	Cleveland	6116	33.9159712230216	-92.2028188358404
AR	Columbia	17926	33.2558568559634	-93.2541252928707
AR	Conway	14760	35.2018326558266	-92.6987486449865
AR	Craighead	69195	35.8270051304285	-90.6554463472794
AR	Crawford	45504	35.4738994374121	-94.2856841156821
AR	Crittenden	38514	35.1721493482889	-90.2105348704367
AR	Cross	13592	35.259761624485	-90.7687816362566
AR	Dallas	5386	33.8330969179354	-92.5093167471222
AR	Desha	9874	33.7745665383836	-91.4347782053879
AR	Drew	12509	33.62	-91.805152290351
AR	Faulkner	81023	35.0922967552423	-92.4274733100478
AR	Franklin	12992	35.4197475369458	-93.8941079125616
AR	Fulton	9220	36.3741713665944	-91.6727440347072
AR	Garland	66779	34.5043786220219	-93.077239551356
AR	Grant	12860	34.280465785381	-92.4313895800933
AR	Greene	29854	36.0632876666443	-90.5003842031219
AR	Hempstead	14433	33.6767844522968	-93.612123605626
AR	Hot Spring	22494	34.3513803680982	-92.8983382235263
